,Story_ID,Emotion_Category,Rating_o,Rating_1,Rating_2,Rating_3
225,Arnold C 0.0,disgust,4.96,4.183333333,5.933333333,5.275
226,Arnold C 0.0,disgust,4.96,4.183333333,3.333333333,3.0
227,Arnold C 0.0,disgust,4.96,4.14,3.4,3.1
228,Arnold C 0.0,disgust,4.96,4.14,4.675,3.175
229,Arnold C 0.0,disgust,4.96,4.14,6.5,4.0
230,Arnold C 0.0,disgust,4.96,5.8,4.525,2.44
231,Arnold C 0.0,disgust,4.96,5.8,0.3,0.275
232,Arnold C 0.0,disgust,4.96,5.8,2.033333333,4.16
233,Arnold C 0.0,disgust,4.96,2.8,5.275,3.025
234,Arnold C 0.0,disgust,4.96,2.8,3.425,0.575
235,Arnold C 0.0,disgust,4.96,2.8,3.466666667,3.725
236,Arnold C 0.0,disgust,4.96,2.583333333,3.766666667,1.75
237,Arnold C 0.0,disgust,4.96,2.583333333,0.133333333,0.875
238,Arnold C 0.0,disgust,4.96,4.314285714,2.125,2.425
239,Arnold C 0.0,disgust,4.96,4.314285714,3.05,2.15
240,Arnold C 0.0,disgust,4.96,4.314285714,4.25,4.22
241,Arnold C 0.0,disgust,4.96,0.066666667,0.05,0.125
242,Arnold C 0.0,disgust,4.96,0.066666667,0.0,0.7
243,Arnold C 0.0,disgust,4.96,0.066666667,0.0,0.0
244,Arnold C 0.0,disgust,4.96,0.066666667,0.0,0.225
245,Arnold C 0.0,disgust,4.96,3.366666667,4.325,3.15
246,Arnold C 0.0,disgust,4.96,3.366666667,1.825,3.525
247,Arnold C 0.0,disgust,4.96,3.366666667,5.1,1.325
248,Arnold C 0.0,disgust,4.96,3.9,4.925,5.475
249,Arnold C 0.0,disgust,4.96,3.9,4.05,3.45
250,Arnold C 0.0,disgust,4.96,4.366666667,5.733333333,2.96
251,Arnold C 0.0,disgust,4.96,4.366666667,5.1,3.625
252,Arnold C 0.0,disgust,4.96,3.766666667,1.25,0.425
253,Arnold C 0.0,disgust,4.96,3.766666667,4.933333333,3.5
254,Arnold C 0.0,disgust,4.96,3.766666667,4.5,1.02
255,Arnold C 0.0,disgust,4.96,3.085714286,2.133333333,2.8
256,Arnold C 0.0,disgust,4.96,3.085714286,2.8,3.9
257,Arnold C 0.0,disgust,4.96,4.616666667,0.2,0.02
258,Arnold C 0.0,disgust,4.96,4.616666667,4.0,2.25
259,Arnold C 0.0,disgust,4.96,4.616666667,5.725,4.375
260,Arnold C 0.0,disgust,4.96,3.642857143,4.025,3.65
261,Arnold C 0.0,disgust,4.96,3.642857143,4.025,3.84
262,Arnold C 0.0,disgust,4.96,3.642857143,3.125,4.25
263,Arnold C 0.0,disgust,4.96,3.642857143,3.125,2.825
264,Arnold C 0.0,disgust,4.96,3.716666667,2.475,4.9
265,Arnold C 0.0,disgust,4.96,3.716666667,0.125,0.0
266,Arnold C 0.0,disgust,4.96,3.716666667,2.6,3.05
267,Arnold C 0.0,disgust,4.96,1.4,0.0,0.225
268,Arnold C 0.0,disgust,4.96,1.4,0.0,0.6
269,Arnold C 0.0,disgust,4.96,1.4,1.675,0.466666667
270,Arnold E 0.0,disgust,4.406896552,4.233333333,3.95,5.45
271,Arnold E 0.0,disgust,4.406896552,4.233333333,1.05,2.2
272,Arnold E 0.0,disgust,4.406896552,6.05,2.433333333,5.7
273,Arnold E 0.0,disgust,4.406896552,6.05,5.4,6.275
